min_TTC,THW_at_min_TTC,m_vel_LV,min_vel_LV,max_vel_LV,sd_vel_LV,m_rel_vel,sd_rel_vel,sd_abs_acc,m_THW,sd_THW,sc_start_idx,N_samples,speedLimit,temperature,baseline,driver_type,scenario,condition,road_type,driver_type_tag
-20,1.25882212608513,24.8742071755548,22.7021460318813,25.7116436048693,0.888771427737762,0.951681865474128,0.339129285494564,0.344095442749957,1.29093516524636,0.099025387446869,15836,164,31.3,21.9622713414634,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.14644397071953,24.4046014837303,24.1015110514911,24.687147864333,0.186798594007978,0.639066032334125,0.270147181498705,0.191523058723278,1.15382155851252,0.0349945183554804,16027,135,31.3,22.0712962962963,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.16081388799561,25.0310944716856,21.2593483596105,25.569164067678,0.618852681934042,0.767005044546433,0.30806937561376,0.27319104041338,1.14575122979213,0.100499090353485,16163,160,31.3,22.109375,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,0.854010229559691,23.8958956060168,18.7700776438025,68.6663088213434,8.32519378475634,1.20936153888833,0.500730872281392,38.2813605519337,0.879749404908214,0.117387160633958,16372,226,31.3,22.1742256637168,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.87756241353805,29.3426402750715,26.8222549405833,30.2899177650123,0.93817031151164,2.28066736121739,0.557173654845669,0.46589258693565,1.66927064908548,0.343194005469367,16625,219,31.3,22.1877853881279,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.77138095025434,32.6262629422987,31.651918556608,33.4354968842485,0.551708383476004,1.93343140692348,0.553474127373422,0.436385210514343,1.77138095025434,0.0487838138844503,16922,53,31.3,22.0778301886792,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.29683152970308,33.553921215145,33.2882394619616,34.0846566859045,0.195808745859983,3.61614199600037,0.398548275466775,0.512759996856551,2.05168280110658,0.25380528256682,17283,97,31.3,22.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.00011018786769,32.5194854043485,31.9906396789063,67.0456714378737,3.0902155894889,2.66251931630595,0.237906196640135,15.4237984239193,1.42655119636009,0.539253346325865,18041,290,31.3,21.9758620689655,1,1,Following_a_lead_vehicle,Baseline,All,Professional
7.20929740771548,1.25768757066705,23.666520387137,23.2827246539637,24.1935492645658,0.242187864401399,5.44340485685356,0.433487092269725,1.27844462293622,1.73161031363575,0.291144228870406,18854,52,31.3,22,1,1,Following_a_lead_vehicle,Baseline,All,Professional
11.2509501178545,1.53751639119214,21.5349792015523,21.3016053097851,21.9029461463785,0.153101607274441,2.585054506752,0.591037922646612,0.453556937560002,1.32876397766053,0.134013498065219,19443,47,31.3,21.9228723404255,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.36257406627308,26.5652052783991,21.1982032837303,27.8462247943554,1.57316976975846,2.10407529150612,0.716889682793757,0.448831851786873,1.12582463301332,0.207543849441024,19575,127,31.3,22.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.09785334294474,33.8736492048083,33.4861839152755,34.4233396004993,0.27829638128831,1.9210508089329,0.710002372261245,0.415841549443118,2.09785334294474,0.0092352644317674,20595,32,31.3,22.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.26978785442114,31.745581726112,30.7735361073307,40.7245061639798,1.58922953702228,1.62934485232117,1.27187528915605,0.274821324573513,1.31652307975856,0.187917266075427,21228,116,31.3,23.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.74141694389214,31.1091180526924,30.7766494211645,31.4470674748554,0.204672598850106,1.43669409069275,0.255307038373138,0.30383838424188,1.74141694389214,0.106856527423063,21399,140,31.3,23.1678571428571,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-14.3835029361126,1.84298428912268,27.0710861212377,23.3954878351819,65.423647241935,10.1692764779622,4.77085374200847,0.479068527439153,5.69742142073558,1.77655002166249,0.442621135192766,22113,106,31.3,23.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
